animal_ID,Cohort,Sex,Timepoint,Time,ZT,LD Cycle,percent_sleep,percent_sleepdec,mean_bout,mean_bout_round,total_min,total_min_round,REM_percent_sleep,REM_percent_sleepdec,REM_mean_bout,REM_mean_bout_round,REM_total_min,REM_total_min_round,nREM_percent_sleep,nREM_percent_sleepdec,nREM_mean_bout,nREM_mean_bout_round,nREM_total_min,nREM_total_min_round,WAKE_percent,WAKE_percent_dec,WAKE_mean_bout,WAKE_mean_bout_round,WAKE_total_min,WAKE_total_min_round
1:03,1,M,A,20:00:00,13,D,39.83,0.3983,67.04,67,23.898,24,4.89,0.0489,9.17,9,2.934,3,26.06,0.2606,36.92,37,15.636,16,69.06,0.6906,88.93,89,41.436,41
1:03,1,M,A,21:00:00,14,D,28.44,0.2844,87.23,87,17.064,17,4.94,0.0494,11.23,11,2.964,3,10.94,0.1094,36.2,36,6.564,7,84.11,0.8411,191.5,192,50.466,50
1:03,1,M,A,22:00:00,15,D,41.72,0.4172,76.7,77,25.032,25,9.5,0.095,11.46,11,5.7,6,29.06,0.2906,30.53,31,17.436,17,61.44,0.6144,70.9,71,36.864,37
1:03,1,M,A,23:00:00,16,D,12.78,0.1278,40.71,41,7.668,8,4.67,0.0467,9.38,9,2.802,3,13.33,0.1333,24.21,24,7.998,8,82,0.82,165,165,49.2,49
1:03,1,M,A,0:00:00,17,D,26.61,0.2661,49.33,49,15.966,16,10.83,0.1083,9.67,10,6.498,6,32.89,0.3289,26.84,27,19.734,20,56.28,0.5628,61.33,61,33.768,34
1:03,1,M,A,1:00:00,18,D,31.72,0.3172,58.83,59,19.032,19,2.94,0.0294,9.25,9,1.764,2,17.33,0.1733,39.47,39,10.398,10,79.72,0.7972,160.78,161,47.832,48
1:03,1,M,A,2:00:00,19,D,47.22,0.4722,66,66,28.332,28,13.78,0.1378,11.24,11,8.268,8,50,0.5,32.25,32,30,30,36.22,0.3622,28,28,21.732,22
1:03,1,M,A,3:00:00,20,D,32.22,0.3222,58.83,59,19.332,19,9.56,0.0956,14.86,15,5.736,6,26.17,0.2617,38,38,15.702,16,64.28,0.6428,86,86,38.568,39
1:03,1,M,A,4:00:00,21,D,64.33,0.6433,118.91,119,38.598,39,7.39,0.0739,21,21,4.434,4,22.44,0.2244,40.7,41,13.464,13,70.17,0.7017,148.24,148,42.102,42
1:03,1,M,A,5:00:00,22,D,18.78,0.1878,68.91,69,11.268,11,5.56,0.0556,9.38,9,3.336,3,34.22,0.3422,54.17,54,20.532,21,60.22,0.6022,114.21,114,36.132,36
1:03,1,M,A,6:00:00,23,D,29.44,0.2944,86,86,17.664,18,5.56,0.0556,12,12,3.336,3,48.89,0.4889,63.29,63,29.334,29,45.56,0.4556,62.38,62,27.336,27
1:03,1,M,B,7:00:00,0,L,34.22,0.3422,118.55,119,20.532,21,2.56,0.0256,15.6,16,1.536,2,11.67,0.1167,37.27,37,7.002,7,85.78,0.8578,238.15,238,51.468,51
1:03,1,M,B,8:00:00,1,L,94.44,0.9444,388.89,389,56.664,57,9.78,0.0978,14.18,14,5.868,6,79.56,0.7956,92.84,93,47.736,48,10.67,0.1067,20,20,6.402,6
1:03,1,M,B,9:00:00,2,L,59.72,0.5972,164,164,35.832,36,10.67,0.1067,13.3,13,6.402,6,70.44,0.7044,59.67,60,42.264,42,18.89,0.1889,22.97,23,11.334,11
1:03,1,M,B,10:00:00,3,L,81.33,0.8133,150.86,151,48.798,49,5.67,0.0567,11,11,3.402,3,32.72,0.3272,65.33,65,19.632,20,61.61,0.6161,106.1,106,36.966,37
